@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
21,'2023/10/21 14:52:08:102',2,375.555542,458.17569,-0.001394,426.377411,447.66217,-2.622565,464.713959,423.039886,-3.585959,493.100983,396.011414,-4.084835,513.957275,377.895538,-3.763654,431.819061,365.86673,-1.20451,446.724365,321.142151,-1.210436,454.796448,291.924561,-1.825881,460.93927,269.371124,-2.401095,402.690155,357.998077,-0.183769,414.327362,308.515686,-0.299295,420.043121,274.576782,-1.144777,423.688599,250.461365,-1.807288,375.659058,360.054077,0.354053,379.614288,315.978851,0.715671,381.611603,284.824585,0.660853,384.036316,262.85141,0.520733,350.19928,370.546967,0.541722,340.856628,336.830872,0.702742,333.907318,314.580078,0.29435,329.919159,295.002716,0.039444,2
22,'2023/10/21 14:52:08:103',2,376.247711,459.691864,-0.001335,428.860046,447.279327,-1.890201,466.786133,421.087158,-2.219529,494.200226,392.394623,-2.104406,513.697754,372.151733,-1.082727,431.960205,362.9422,0.727553,446.995331,317.696564,1.722368,455.070129,289.17804,1.859158,461.218994,267.887787,1.832135,402.233124,355.3927,2.006797,413.604034,305.719879,3.145118,419.968628,272.900055,3.10994,424.152588,249.904907,3.005253,375.15744,357.853333,2.849736,379.081238,313.461426,4.334497,382.233551,282.977051,4.993703,385.508392,261.772858,5.348421,350.119965,368.445007,3.380154,341.673279,334.104919,4.457195,336.410767,311.836853,4.651006,333.97168,292.601074,4.862858,2
23,'2023/10/21 14:52:08:724',2,376.92984,461.019012,-0.001467,429.08606,448.821014,-4.918589,467.16629,419.822815,-5.771439,494.742279,389.021301,-6.634236,516.950623,366.179016,-6.999646,434.609894,361.479706,4.112041,449.885071,316.779053,5.561037,457.760498,287.667908,5.281374,463.328369,264.968781,4.747497,404.790588,354.334503,5.135271,416.514771,305.45813,7.487895,422.029144,272.2435,6.662797,425.381744,247.617523,5.991354,377.062195,356.832428,4.79326,381.888123,313.149506,6.876829,384.246887,282.83783,6.874617,386.372864,260.667511,6.790302,350.309723,367.078003,3.500935,342.929199,333.703766,4.512589,337.593628,311.493561,4.541457,334.59967,291.150818,4.832265,2
24,'2023/10/21 14:52:08:726',2,384.948395,461.669952,-0.001437,436.069214,448.848785,-4.294143,474.359894,416.554565,-4.588197,502.064392,384.544373,-5.427786,524.265869,362.98996,-5.925855,440.444611,357.324707,7.794562,456.327637,314.84903,10.074847,464.622162,286.835266,9.943445,470.644775,264.215759,9.292978,410.268555,349.506378,7.78513,421.028015,302.354706,11.241162,425.70993,269.7724,10.530314,428.48526,245.713928,10.028273,382.062073,352.274658,6.068304,385.710846,309.424652,8.801398,387.152405,279.775116,9.190368,388.794983,258.12323,9.50317,354.237457,364.209473,3.290475,345.814209,331.953339,4.38608,339.650635,310.639526,4.69075,335.806396,290.683533,5.398989,2
25,'2023/10/21 14:52:09:358',2,387.828644,465.569153,-0.001124,443.206696,453.212769,-1.078183,482.093231,422.911407,0.384259,509.01236,391.603485,1.609907,529.155945,368.665436,3.522026,448.247162,360.772736,9.195406,463.397949,316.55423,13.118956,471.112305,288.495972,14.653329,476.182831,267.341797,15.265173,416.333618,353.453552,10.023174,426.776947,303.600647,14.859185,430.951294,271.704834,16.243752,432.795898,248.380966,17.10745,386.707367,356.678406,9.818004,389.530457,311.743103,14.14851,390.228973,282.454926,16.488565,390.977081,261.645416,18.071407,358.647949,368.389191,8.992685,350.774078,334.272339,11.855199,346.089478,313.210785,13.665527,343.433655,294.709045,15.464294,2
26,'2023/10/21 14:52:09:360',2,391.045227,466.562531,-0.00111,442.839478,453.828918,-3.851772,481.093445,422.019165,-3.794192,507.827576,390.322815,-4.180462,528.497375,367.608643,-4.109704,448.115112,361.248901,8.095898,463.200653,318.319305,10.872735,470.73703,289.977936,11.20948,475.902832,267.672363,10.853952,416.781158,353.664703,8.356826,426.936096,305.38797,12.116772,431.333984,273.122253,11.745589,434.154297,249.012939,11.281831,387.541595,356.393066,7.043163,390.561707,312.523438,10.04733,391.628693,283.282898,10.706502,393.196808,261.834473,11.068379,359.118225,367.959991,4.703852,351.508667,334.703461,6.108492,346.692017,313.421051,6.681686,344.244171,293.870056,7.53431,2
27,'2023/10/21 14:52:09:989',2,395.49939,468.244659,-0.001217,447.981537,456.375153,-2.606874,486.613007,425.387817,-1.844158,513.193848,394.44635,-1.321112,532.223572,372.665497,-0.231627,452.894257,362.313354,8.263029,468.903015,319.381744,11.728047,477.368164,291.52356,12.784208,483.07431,270.005371,12.961683,420.593323,354.694702,8.908079,431.188812,305.456757,13.307168,436.223053,273.638519,13.86694,439.427124,250.068863,14.171123,390.975006,357.994873,8.286847,393.731781,313.282013,12.002536,395.135345,284.129852,13.561534,396.977234,263.002289,14.646384,362.914886,370.46875,6.85498,354.087372,336.547729,8.873088,348.66571,315.20694,9.996234,345.49054,295.968353,11.365767,2
28,'2023/10/21 14:52:09:990',2,404.782043,470.826813,-0.001144,460.21933,457.008331,-2.889392,499.191376,426.512329,-1.732301,525.980042,397.10675,-1.306943,544.836792,375.118134,-0.21256,460.983154,361.572968,12.117533,475.123749,318.636871,16.095459,484.444061,290.141968,17.165522,491.208008,267.886108,17.285589,427.789948,355.315216,12.195605,435.521912,306.46106,17.73502,441.681763,274.436157,18.130697,446.567383,250.144974,18.219563,397.641663,359.510986,10.553819,397.533447,315.132629,15.20066,400.118103,286.728394,16.700762,403.547119,265.774109,17.655607,369.139404,371.895813,7.810589,358.57077,337.911224,10.366198,354.577576,316.915253,11.785863,353.49649,297.589172,13.427643,2
29,'2023/10/21 14:52:10:603',2,412.551025,471.247681,-0.001189,467.460052,457.222046,-1.421125,505.780548,427.830627,0.538931,531.781982,400.763092,1.622484,549.441406,381.697937,3.194982,467.789093,363.466583,13.610237,482.697479,320.275818,18.214117,491.551483,291.720947,19.859255,497.313507,269.374115,20.375105,434.418396,356.410889,13.347171,442.287964,306.509888,19.594969,447.870789,273.722321,20.488434,451.938385,249.199829,20.949776,404.147064,359.91745,11.467395,404.176147,313.935486,16.54159,406.347717,284.620697,18.255117,409.186249,263.215057,19.475723,375.607849,371.862,8.671858,366.261414,336.776398,11.41538,362.573944,315.54126,13.029982,361.174194,296.066406,14.947926,2
30,'2023/10/21 14:52:10:606',2,414.558319,470.931763,-0.00102,467.528473,456.528961,-1.386544,505.945831,426.693268,0.492966,532.231934,398.790955,1.534016,550.171997,378.866272,3.130744,471.328644,363.00943,12.490942,485.675018,319.188446,16.686787,493.841156,290.652802,18.341064,498.833344,268.389008,18.997026,438.593628,355.659149,12.217205,446.037903,305.869537,17.982143,451.130615,273.738129,19.018745,454.754639,250.068008,19.609186,408.054321,358.664032,10.387944,407.342773,312.697266,15.167304,409.150299,283.905182,16.938032,411.812927,263.23584,18.147638,378.787872,370.096771,7.66356,368.582916,334.833405,10.349901,364.986877,313.352112,12.003876,363.979218,294.034241,13.833341,2
